,nick,lp
1,LFT strongsexy,1634
2,T1 Bebe872,1337
3,SanChess,1311
4,두눈이,1123
5,곰과제리,1112
6,김하잉,1110
7,강선종,1108
8,uL 쵸리,1048
9,TwTF 드록바,1041
10,uL precel,1017
11,피부미인드록바,999
12,줘 너,951
13,uL 성민,926
14,카시장인 삿카시,923
15,판 키,923
16,표 면,919
17,dunizuni,915
18,Acro uu,910
19,50판안에 첼감,900
20,지보배,875
21,민혜은,865
22,지보배2,858
23,밀짚모자 쌍옆,851
24,Inativs,818
25,엠돈 유튜브 구독,797
26,TwTF 진흙이,783
27,리롤의 부두술사,780
28,shungjinsoo,771
29,따롱이이,766
30,응애 나 애기보리,765
31,엘무무 Youtube,761
32,TFT 가지볶음,745
33,나연아보고싶어그때로돌아가자우리,742
34,영판항,728
35,구깨룩3,718
36,홀애비,718
37,TwTF 김준민,709
38,우쭐리우중,706
39,세나 히데토시,704
40,주노보노,694
41,정동글 YouTube,693
42,꾸루멍,690
43,Kanatan,687
44,오박사TV,683
45,Hz 쁘보배,681
46,T1 꼴픽이,665
47,Jssssssssssssss,661
48,Keane Tft,653
49,Delete ADC,647
50,인천피스트유튜브,645
51,Teukhan,635
52,AFTV 배그좋아,631
53,뿔보 정점 김뚜헝,624
54,세훈에몽,608
55,우리크,606
56,uL 깜시루,595
57,이렇게 좋은 날,588
58,배 치 의 신,583
59,WishWind,581
60,Mig Global,580
61,Lilow,575
62,TOTY 게잘남,574
63,PBE안해도너보다잘함,571
64,난 강아지없어힝,567
65,uL Pado,566
66,폰으로챌린저감,565
67,Hz앞으로acro바딕,562
68,3Chon,559
69,칼픽 다리,558
70,Acro 서밤,555
71,아니뭐할건데,555
72,순방요정,549
73,퐈피는 잘못없어,548
74,LimHyeongseok,548
75,로디2,548
76,hz 카보배,546
77,하이라이프,544
78,다우니아야해떠,543
79,You Kn0w What,541
80,베승기,541
81,JJangsung 2 YA,541
82,퀸카 은지,541
83,TOTY 상로쿠,541
84,장주현,538
85,즐겜하는 노마딕,536
86,김도칠,528
87,Acro 골드,526
88,제로겟,525
89,적사스오,524
90,ShrimpVicious,523
91,껌크림,519
92,니미소가날숨쉬게해넌나의에너지,518
93,심 맹,518
94,재공소년,517
95,여리뤼,517
96,지하닝팬,517
97,퀸인경,514
98,개소리 한소리,513
99,TwTF 인천피스트,512
100,TOTY Wind,511
101,My Paradise,511
102,세계1위 팔차선,510
103,리플평단 1430,509
104,Acro 바니,509
105,alleTFT,508
106,비읍학,506
107,호마레토,505
108,초가스와 코그모,504
109,칸체스TV,503
110,무지성풀캠박치기,502
111,명수는 아가야,502
112,풍상풍상,502
113,구지금,502
114,뚜 두,502
115,M0YA,502
116,PDN1,502
117,ilililillillllil,502
118,허니비 YouTube,501
119,KAIST 21학번,496
120,checkmategg,492
121,Acro Jokipapa,441
122,진우와 윌럼프,422
123,신루리,390
124,TOTY 순 대,532
125,Acro DrucKer,531
126,롤체열심히함,509
127,녹턴오빠불좀꺼,500
128,광어콩,482
129,드로우갓겜,481
130,uL 빈틈,470
131,uL ZENIA,465
132,TwTF 표면,464
133,부천정재경,462
134,지 연,457
135,치릴구,456
136,롤체 전문 한의사,456
137,롤체챌까지한걸음,451
138,청년과 중년사이,444
139,소브로,437
140,Furch Red,433
141,트위치 강천둥,432
142,매직아이스,429
143,catch sunshine,425
144,PERSON 0,424
145,시건호2,423
146,섭서바,419
147,Luzesky,413
148,밀쌍옆보고배움,405
149,반림동,405
150,귀 쯔,400
151,TOTY 둘리,400
152,우리집엄마아빠,399
153,리락이,395
154,이카엘,385
155,두글자로만들어진,384
156,2번죽고 시작한다,380
157,YICanw,380
158,인성파탄난쓰레기,379
159,TwTF 민다빈,379
160,behappy0504,377
161,할줄 아는것만 함,373
162,띵 땡,369
163,Hz 카지노딜러,369
164,NA OH MY EYE,367
165,반달곰이야,364
166,황당황당황당당,362
167,깔딱깔딱,361
168,신 하고 정훈,356
169,싼타할매,354
170,Hz UmCri,352
171,손목날아가분다,347
172,Oreoreoreoreoreo,346
173,요르르륵,346
174,TFT Jaemin,345
175,세나릴,344
176,호날두 맨유 복귀,342
177,플인선,342
178,TAEGIEE,340
179,우리원딜레드도둑,340
180,BerB,340
181,T1 콩픽이,339
182,지 존 일 짱,337
183,소환사의제제,337
184,너무행복한뱅후니,336
185,Hwj,336
186,제니아보고배움,333
187,심 딴,333
188,천연만화,333
189,뚜석이,331
190,Dipion,329
191,IllIlIlIIlIIlIzz,329
192,SolarZero,327
193,뚜보배,327
194,균룰룰,327
195,쓸데없이미드만감,324
196,엉망진창 오띠띠,324
197,골라조,323
198,산천어홍보대사,323
199,LinkHodler,321
200,쪼해피롱,320
201,꽥꽥이 넘 얌쥐넹,319
202,빠코TV,318
203,크흐맨,318
204,hyenseok,313
205,Let it Rain,313
206,NIDO,313
207,레아 00,312
208,giangdycg,311
209,메추리777,308
210,dumpsong,307
211,차암얄밉다그죠잉,307
212,엉망진창 건포도,307
213,쁘띠세로로,306
214,올빼미형인간,306
215,금빵이,302
216,사탄도거르는인성,301
217,저는 모릅니다,301
218,골목돼장퉁퉁이,300
219,이수영노래듣는사람,300
220,Xiwol,300
221,홍시띠,299
222,나도사기치고싶다,299
223,체스오브레전드,298
224,기리보이좋아했잖아질투날정도,298
225,고호동,298
226,덕소나몽이,297
227,롤토체스F,296
228,ManChodi TFT,294
229,극악무도한 복실,293
230,헤이즈 노래모음,293
231,llowoll9,292
232,미포보다슴가큼,291
233,지팡이주라,289
234,러쉬 딥디크,288
235,주1회 미팅싫어요,288
236,충주사과꿀주먹,287
237,지하닝찐팬,281
238,AgathaZest,281
239,golrazo,280
240,15테임즈,278
241,NEGF,277
242,포모박,276
243,essen Y,275
244,보리보면짖는개,275
245,발 명,274
246,래시뽀드,274
247,수영장파티공주배리나,274
248,안혁준2,272
249,KGE,271
250,설남훈,271
251,SsGoi,269
252,Del Luna Fan,269
253,바지락털국수,269
254,뚠뚠펭귄,269
255,나하뚜,269
256,초콜렛공장,268
257,오늘만 봐드림,267
258, 블 륀 쨩,265
259,짭납1,265
260,acro 상mini,263
261,uL 종또리,262
262,샐리의 법칙,260
263,잔나비 사랑해,259
264,전화줘,259
265,오린아,258
266,Acro Nicole,258
267,누리 찬,257
268,초가스는 깜찍해,257
269,인죽이,256
270,it shall pass,256
271,Acro 나나,253
272,야형용메,253
273,저 서 비 ,253
274,볼빵빵 테리어몬,253
275,운빨질병게임,252
276,TTV 가을하늘별,250
277,REMEMBER 140416,250
278,맞아본 적이없어,249
279,김옥자 지,249
280,협찰찰,247
281,심청청,246
282,푸도로,244
283,KimMaru,244
284,턱타르,244
285,TWICE 샤랑둥이,242
286,개 쀼웅,241
287,hz 블랙펭수,240
288,Acro 해탈한 구너,239
289,칼리롤,239
290,강력한 스킬,239
291,Soldering,238
292,아카네코쨩,238
293,탑 제이스,236
294,김하택,236
295,닉은내맘대로,236
296,Absolute 찬,236
297,코스모보고배움,235
298,하스하다왔어,235
299,딜도탱크2,234
300,유연하게대깨하기,233
301,국순길,232
302,비정상원,232
303,그림쟁이간미,232
304,사회생활독학,231
305,TOTY JIRO,230
306,저니밍,230
307,롤체하네,230
308,Astary,229
309,아현아 결혼하자,228
310,El Virtuoso,228
311,지하닝보고강등,225
312,Elatha,225
313,로구달,225
314,오체티어퀸,224
315,엄마아들롤체할래,223
316,서폿장인노짱,221
317,타오갓,221
318,블루안머거요,221
319,못생긴 소환사명,221
320,뭘꼬라보니아가야,220
321,대일본제국,220
322,Hz Uni,220
323,아이언형,219
324,TFT Lie,219
325,이끈음,218
326,내별친구,218
327,WithKi,218
328,cucua1,218
329,Aned,217
330,WinMo,217
331,아이엠그루트리,216
332,배가많이고픈아이,216
333,경진이,215
334,LordKim,215
335,메가메가자리,214
336,vbra,214
337,dunezune,214
338,ttv XeroAU,213
339,교촌치킨레드허니,212
340,tft 땅꼬마,212
341,구월동토박이,212
342,TOTY 키위,211
343,난 실력 넌 운빨,211
344,가나다라맙소사엌,211
345,Insane Panda,211
346,rabbit12,211
347,부산대롤체1타,211
348,Not Scythe,211
349,미드안오면정글탓,211
350,김민빵,210
351,진검소년,210
352,피야노,209
353,롤체김병만,209
354,탑솔지혜,209
355,귀여운 울 까미,208
356,김동호보고배움,208
357,끙락쀼,208
358,행정고등고시,208
359,VNNO1chinaNO2,207
360,Simjoo,207
361,Youtube 김강한,207
362,하 송 편,207
363,NIF 쿠모,206
364,운좋은 은우,206
365,2등만하는사람,206
366,지보배보지,205
367,나흐체러,204
368,lIIIlllIIlIl,204
369,엉망진창 메시,203
370,달밤귤단주,202
371,므네짱짱,202
372,승진오빠,202
373,Ori110,202
374,암컷 스웨인,202
375,HeoMa,201
376,라끼도르,201
377,너프먹은 미리,201
378,커 담,200
379,진입해,200
380,챌린정,194
381,아니이건십오바지,186
382,근열맨,186
383,손경옥 여사,182
384,소작방냄심방,182
385,VN Min,182
386,한남 동각,180
387,Amor Nox,179
388,TOTY롤체에미띤놈,177
389,쁘띠세로로보고배움,175
390,아 갓 씨,172
391,Trick C,170
392,아갓어,138
393,Galaxy cluster,133
394,노오오오루,132
395,알아서미드점,115
396,원라쿠,115
397,민초단 망고빌런,102
398,불암초척추분쇄기,90
399,컁 캉,84
